title,review_score,review_summary,review_text,description,authors,publisher,categories
Caring for Your Baby and Young Child: Birth to Age 5,5.0,CAN'T LIVE WITHOUT IT!!,"This is, by far, the best child care reference book out there. Even my pediatrician has it on their &quot;Must Own&quot; list. It covers everything, soup to nuts, that you would want to know. Baby sick? Use this book. Question about feeding? Use thi sbook. Question about ANYTHING? Use this book. My husband and I have already broken the binding! I started reading it in the hospital a few hours after my daughter was born and it even helped in the hospital (cleaning the cord, etc. -- you name it, they got it covered!). You can use it as a reference or read it chapter by chapter or by age. It's fantastic. I plan to give this as a gift to every new mom I know.","A latest edition of a best-selling reference features a new design and expanded information on the preschooler years, in a guide that covers topics ranging from infant care and food allergies to sleeping habits and autism. Original.",['Steven P. Shelov'],Bantam Dell Publishing Group,['Family & Relationships']
Murder on Monday (Lois Meade Mysteries (Hardcover)),3.0,Not a very likeable main character.,"I must confess that ""Murder on Monday"" was an impulse buy for me based on the cover art for the book series. I also happen to enjoy mystery stories, especially those which take place in English settings. So this book grabbed me on those two levels, but I also chose it because it was described as featuring a ""working-class mum"". That sounded like an interesting new variation on usual mystery novel plots to me. My problem came about when I discovered that I don't like Lois Meade, the main character of the series.In order to help with household expenses Lois Meade becomes a house cleaner for five households in the village of Long Farnden. By going outside her own village she doesn't have far to travel but she also doesn't create any problems for her 14 year old daughter. Josie doesn't have to be embarrassed about her mother's job. When one of the women of Long Farnden is murdered Lois finds that she is perfectly placed in her work to help the police investigate the homicide. Now, this all sounds well and good except that it feels as if Ann Purser, in order to emphasize the working-class aspect of her character, decided to make Lois basically unpleasant in nature. No matter what situation Lois found herself in, whether it was concerning her family, the families whose houses she cleaned, or the police department, she was just not friendly. Working-class did not need to equal unpleasant but that is the feeling I got. She was very often unnecessarily rude and she appeared to have a ""what's in it for me"" attitude about most things.The mystery we were being asked to read about was not compelling enough to hold my interest throughout the entire book. I kept waiting for something else to happen. Instead what I got was the family dynamics of the Meades dealing with a 14 year old daughter who believed she should be treated like an 18 year old and the complications concerning her boyfriend. The marriage of Lois and Derek also came in for quite a bit of attention, some of it germane to the mystery, some of it not. The two sons in the family got practically no attention paid to them and the same can be said for the faithful grandmother who arrived every morning to escort the children to school. If so much focus was to be placed on the family then I would have liked for all the family members to be given more depth of character. Perhaps these characters will be more fully developed in future books but they were certainly given short shrift here. And I lost all track of the passage of time. I could not even begin to tell you how much time transpired from the beginning of this story to the ending. Every new segment seemed to begin with the day of the week to indicate which home Lois was going to. I got lost. Then I didn't care and I lost interest. The writing of this novel is actually quite good, my problem is with the plot and the characters themselves. There was not nearly enough mystery for a 280 page mystery novel.Now, the family dynamics were necessary to emphasize the consequences of Lois being a working mother while trying to help solve the murder, I fully understand that. The problem is that I read mysteries for the MYSTERY aspect, not a commentary on how hard it is for women to work and have family obligations. That was my mistake in choosing this book, I didn't do any research before I bought it. I didn't realize that the ""mystery"" part of the book would so often take a backseat to the family problems. I bought the second book in the series,Terror on Tuesday (Lois Meade Mystery), at the same time. Maybe I will react differently to the changes which happen for the Meade family in that book. I certainly hope so.","De hoogbejaarde speurneuzen van De moordclub zijn terug De hoogbejaarde speurneuzen van De moordclub (op donderdag) zijn terug met een ijzingwekkend nieuw avontuur Het is weer donderdag, en de vier bejaarde leden van de moordclub verzamelen zich in het restaurant van hun verzorgingstehuis. Terwijl de flessen wijn op tafel komen hopen Joyce, Ibrahim en Ron dat Elizabeth een nieuwe cold case voor ze heeft – een moordzaak die ze als amateurspeurders kunnen gaan oplossen. Elizabeth is er echter met haar hoofd niet bij. Ze heeft een brief ontvangen, ondertekend door ene Marcus Carmichael. Dat is verrassend, want de laatste keer dat Elizabeth hem zag was in 1981, toen hij morsdood onder een brug lag. De brief blijkt te zijn gestuurd door Douglas, een voormalige echtgenoot van Elizabeth. Hij werkt voor de Engelse inlichtingendienst mi5 en is op de vlucht voor de maffia, vanwege een akkefietje met 20 miljoen pond aan gestolen diamanten, maar voordat ze hem kunnen helpen wordt Douglas vermoord. De vier bejaarde speurneuzen zijn nu zelf het doelwit. Slagen erin ze de diamanten op te sporen voordat de moordenaar hen uit de weg laat ruimen?",['Richard Osman'],Cargo,['Fiction']
Ulysses,5.0,Joyce's Labrynth at its Most Complex,"From the beginning of anyone's Joyce readings, he automatically assumes a powerless position. In Dubliners, we are walking through a labrynth of short stories connected only by theme and setting, paralysis and Dublin. We see the same theme and setting in A Portrait. Ulysses, though, presents Joyce's labrynth at its most complex. Unlike other more traditional novels, the chapters in Ulysses have almost no connections from one to the next. Rather, Joyce presents a series of coincidences and seemingly unrelated events within one day. The navigation of the novel in most places becomes rather belaboured, especially &quot;Oxen of the Sun.&quot; Like the epic it was modeled after (Odyssey), Ulysses includes moments of divine intervention. However, a Ulyssean intervention is made by either Joyce or the reader rather than by a Greek God serving as a deux es machina. The plot of Ulysses is the plot of the modern hero in the greatest epic of all, life. The novel is the most intricate, and probably the most realistic novel ever. I say it is the most realistic even though it has many moments of disillusionment with knowledge that we all go through many moments of disillusion throughout each day of our lives. The characters, just as the readers, are hopeless in the grand scheme of things. Fate, rather than the human hand, controls all of us. If you feel like trampling through a labrynth of deeply insightful and, at times, awfully confusing epiphanies, then Ulysses is for you. The labor involved in the reading makes its brief moments of understanding (the epiphanies) all the more worthwile. After all, you have to go through hell to come out right.","Beschrijving van achttien episoden van één dag uit het leven van een Joodse advertentiecolporteur in Dublin in het jaar 1904, waarbij schr. zich spiegelt aan de ""Odyssee"" van Homerus.","['James Augustine Aloysius Joyce', 'John Vandenbergh (pseud. van Jan Hendrik Willem Schlamilch.)']",,
The Great Gatsby,4.0,The Great Gatsby,"The Great Gatsby written by F. Scott Fitzgerald takes place during the hot New York summer of 1922. On the surface the book is a romance between two estranged lovers, Gatsby and Daisy, but the heart of the book is a metaphor of the time. The symbolism is directly parallel to the disintegration of the American dream.The book is a wonderful read if you like the spider webs Fitzgerald weaves. The Great Gatsby is full of symbolism related to the time period, and a love story that is nothing short of ridiculous. I thoroughly enjoyed the time I spend reading The Great Gatsby. The book allowed my imagination to play out wonderful scenes with every page. I would recommend this book to anyone who likes to read about undying love, and the lengths some people will go to obtain their dreams.","In The Great Gatsby F. Scott Fitzgerald captures the flamboyance, the carelessness and the cruelty of the wealthy during America's Jazz Age. Part of the Macmillan Collector’s Library; a series of stunning, clothbound, pocket sized classics with gold foiled edges and ribbon markers. These beautiful books make perfect gifts or a treat for any book lover. This beautiful Macmillan Collector's Library edition features an afterword by David Stuart Davies. The Great Gatsby lives mysteriously in a luxurious Long Island mansion, playing lavish host to hundreds of people. And yet no one seems to know him or how he became so rich. He is rumoured to be everything from a German spy to a war hero. People clamour for invitations to his wild parties. But Jay Gatsby doesn't heed them. He cares for one person alone - Daisy Buchanan, the woman he has waited for all his life. Little does he know that his infatuation will lead to tragedy and end in murder.",['F. Scott Fitzgerald'],Pan Macmillan,['Fiction']
Henry Huggins,5.0,The book that started it all!,"From my understanding, Beverly Cleary was a librarian who could not get some boys to read. They complained that there wasn't anything to read that they could relate to. They asked why weren't there books about kids like them, just average boys? So Beverly Cleary wrote &quot;Henry Huggins&quot; for them- a story of an average boy who gets into all sorts of believable adventures with highly amusing results. It is a GREAT book, and Ms. Cleary introduced to children's literature some of its greatest characters: Henry and his dog, Ribsy; and, in later books, his tomboy friend, Beezus, and Beezus' amazingly pesty kid sister, Ramona. Everyone of the subsequent books in the Henry/Ramona series is fantastic- filled with humor and characters with whom kids can understand and relate. &quot;Henry Huggins&quot; started it all and makes a wonderful introduction to Ms. Cleary's world on Kickalat Street.","This special edition of Henry Huggins features the original illustrations by Louis Darling—the first artist to ever render Henry, Ribsy, Ramona, and Beezus—as well as a foreword written by New York Times bestselling author and illustrator Tony DiTerlizzi. In Newbery Medal-winning author Beverly Cleary’s first novel, boys and girls alike will instantly be charmed by an average boy whose life is turned upside-down when he meets a loveable puppy with a nose for mischief. Just as Henry Huggins is complaining that nothing exciting ever happens, a friendly dog sits down beside him and looks pleadingly at his ice-cream cone. From that moment on, the two are inseparable. But when Ribsy’s original owner appears, trying to reclaim his dog, Henry’s faced with the possibility of losing his new best friend. Has Klickitat Street seen the last of rambunctious Ribsy?",['Beverly Cleary'],HarperCollins,['Juvenile Fiction']
Zen and the Art of Motorcycle Maintenance : An Inquiry into Values,4.0,Thought Provoking,"If I have to describe this book in two words, I would describe it as &quot;Thought Provoking&quot;. If I try to attempt to say anything more about this book, I am sure I would fail. There are parts of the book which didn't make sense to me immediately. I still don't know if I have understood it completely. But I am happy that it made me think and get a new perspective about certain things.","THE CLASSIC BOOK THAT HAS INSPIRED MILLIONS A penetrating examination of how we live and how to live better Few books transform a generation and then establish themselves as touchstones for the generations that follow. Zen and the Art of Motorcycle Maintenance is one such book. This modern epic of a man’s search for meaning became an instant bestseller on publication in 1974, acclaimed as one of the most exciting books in the history of American letters. It continues to inspire millions. A narration of a summer motorcycle trip undertaken by a father and his son, Zen and the Art of Motorcycle Maintenance becomes a personal and philosophical odyssey into fundamental questions on how to live. The narrator's relationship with his son leads to a powerful self-reckoning; the craft of motorcycle maintenance leads to an austerely beautiful process for reconciling science, religion, and humanism. Resonant with the confusions of existence, this classic is a touching and transcendent book of life. This new edition contains an interview with Pirsig and letters and documents detailing how this extraordinary book came to be.",['Robert M. Pirsig'],Harper Collins,['Philosophy']
The Bible book by book,5.0,"This book is written as an outline of the Bible, not the Bible itself","Josiah Tidwell Blake taught scripture at Baylor University in Texas for 36 years. He was memorialized there when Tidwell Bible Building was erected on Baylor's campus. Sixty-eight limestone panels, each a ton and carved by talented craftsmen, tell the story of the Bible in a panorama encircling the Tidwell Bible Building.I would recommend this book to any who would like a little insight into each chapter of the Bible.","Reading the Bible doesn't need to be a difficult journey through strange and bewildering territory. How to Read the Bible Book by Book walks you through the Scriptures like an experienced tour guide, helping you understand each of its sixty-six books. For each book of the Bible, the authors start with a quick snapshot, then expand the view to help you better understand its message and how it fits into the grand narrative of the Bible. Written by two top evangelical scholars, this survey is designed to get you actually reading the Bible knowledgeably and understanding it accurately. In an engaging, conversational style, Gordon Fee and Douglas Stuart take you through every book of the Bible using their unique approach: Orienting Data—Concise info bytes that form a thumbnail of the book. Overview—A brief panorama that introduces key concepts and themes and important landmarks in the book Specific Advice for Reading—Pointers for accurately understanding the details and message of the book in context with the circumstances surrounding its writing. A Walk Through—The actual section-by-section tour that helps you see both the larger landscape of the book and how its various parts work together to form the whole. How to Read the Bible Book by Book can be used as a companion to How to Read the Bible for All Its Worth. It also stands on its own as a reliable guide to reading and understanding the Bible for yourself.",['Gordon D. Fee'],Zondervan Academic,['Religion']
"Crossroads of Twilight (The Wheel of Time, Book 10)",4.0,A Nagging Wife,"most of the reviewers on this page have been at it since issue number 5. it's an entertainment, guys, not intellectual piece, nor a college text book that you absolutely must readd. if you don't like it just drop it. don't buy the book anymore and quit qhinning.as for the rest of Jordan fans, like myself, well ... READ ON !","The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. Fleeing from Ebou Dar with the kidnapped Daughter of the Nine Moons, whom he is fated to marry, Mat Cauthon learns that he can neither keep her nor let her go, not in safety for either of them, for both the Shadow and the might of the Seanchan Empire are in deadly pursuit. Perrin Aybara seeks to free his wife, Faile, a captive of the Shaido, but his only hope may be an alliance with the enemy. Can he remain true to his friend Rand and to himself? For his love of Faile, Perrin is willing to sell his soul. At Tar Valon, Egwene al'Vere, the young Amyrlin of the rebel Aes Sedai, lays siege to the heart of Aes Sedai power, but she must win quickly, with as little bloodshed as possible, for unless the Aes Sedai are reunited, only the male Asha'man will remain to defend the world against the Dark One, and nothing can hold the Asha'man themselves back from total power except the Aes Sedai and a unified White Tower. In Andor, Elayne Trakland fights for the Lion Throne that is hers by right, but enemies and Darkfriends surround her, plotting her destruction. If she fails, Andor may fall to the Shadow, and the Dragon Reborn with it. Rand al'Thor, the Dragon Reborn himself, has cleansed the Dark One's taint from the male half of the True Source, and everything has changed. Yet nothing has, for only men who can channel believe that saidin is clean again, and a man who can channel is still hated and feared-even one prophesied to save the world. Now, Rand must gamble again, with himself at stake, and he cannot be sure which of his allies are really enemies. TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —Variety The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan Warrior of the Altaii By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",['Robert Jordan'],Tor Fantasy,['Fiction']
God of Small Things 1ST Edition Us,5.0,"A New ""Sophie's Choice""","I started this novel five or six years ago but found it too confusing so put it down. However, this time I found it mesmerizing and could not put it down, racing from chapter to chapter, totally caught in the mystique through which Roy masterfully unwraps her characters. Such a powerful new descriptive, totally ""of the moment"" writing. It was sad yet revealing of the way times, events and circumstances wrest control from those caught in their web. The feeling it leaves with me is akin to how I felt after seeing ""Sophie's Choice"" - haunted by the unfairness of the story itself, yet enriched from the unique gifts of the storyteller.",,,,
"Little Women: or Meg, Jo, Beth, and Amy",5.0,Great,This is a timeless classic that my daughter will truly love and enjoy for many a night and day. Thanks,"Little Women with a twist: four sisters from a blended family experience the challenges and triumphs of life in NYC in this beautiful full-color graphic novel perfect for fans of Roller Girl and Smile. Meg, Jo, Beth, and Amy are having a really tough year: with their father serving in the military overseas, they must work overtime to make ends meet...and each girl is struggling in her own way. Whether it's school woes, health issues, boy troubles, or simply feeling lost, the March sisters all need the same thing: support from each other. Only by coming together--and sharing lots of laughs and tears--will these four young women find the courage to discover who they truly are as individuals...and as a family. Meg is the eldest March, and she has a taste for the finer things in life. She dreams of marrying rich, enjoying fabulous clothes and parties, and leaving her five-floor walk-up apartment behind. Jo pushes her siblings to be true to themselves, yet feels like no one will accept her for who she truly is. Her passion for writing gives her an outlet to feel worthy in the eyes of her friends and family. Beth is the shy sister with a voice begging to be heard. But with a guitar in hand, she finds a courage that inspires her siblings to seize the day and not take life for granted. Amy may be the baby of the family, but she has the biggest personality. Though she loves to fight with her sisters, her tough exterior protects a vulnerable heart that worries about her family's future.",['Rey Terciero'],"Little, Brown Books for Young Readers",['Juvenile Fiction']
Cat's Cradle,5.0,A Fantastic Post Modern Satire,"Among the many Kurt Vonnegut books I have read, this was the first one and today still remains to be my favorite book by him and perhaps of all time. While I believe ""Cat's Cradle"" to be Vonnegut's best piece of literature he has many other great stories and ""Cat's Cradle"" works as a great introduction to his style and humor. What separates Vonnegut's satire from those of lesser authors is the wit and black humor that is embedded in every page. With the eccentric and eclectic cast of characters, notably a midget, Vonnegut is able to comment on all of the faults of the modern man while still maintaining the humor which makes the book very easy to pick up and even harder to put down once started. ""Cat's Cradle"" can be read in two ways: as a humorous warning apocalpytic tale of a man at the end of the world, or as an in depth look at the plight of man and the many pitfalls of our society. Neither way is wrong because the book fits both instances so well that it's hard to find any fault with it; it's neither too serious or too goofy. In fact it's this balance of seriousness and humor that makes Vonnegut's writing so enticing and enjoyable. If you enjoy apocalyptic stories, social commentaries, and clever and subtle humor then you will find ""Cat's Cradle"" to be highly enjoyable journey and will re-visit it many times throughout the years.","“A free-wheeling vehicle . . . an unforgettable ride!”—The New York Times Cat’s Cradle is Kurt Vonnegut’s satirical commentary on modern man and his madness. An apocalyptic tale of this planet’s ultimate fate, it features a midget as the protagonist, a complete, original theology created by a calypso singer, and a vision of the future that is at once blackly fatalistic and hilariously funny. A book that left an indelible mark on an entire generation of readers, Cat’s Cradle is one of the twentieth century’s most important works—and Vonnegut at his very best. “[Vonnegut is] an unimitative and inimitable social satirist.”—Harper’s Magazine “Our finest black-humorist . . . We laugh in self-defense.”—Atlantic Monthly",['Kurt Vonnegut'],Dial Press,['Fiction']
